Lat,Lon,Name,Borough,Ride.Count
40.7438,-73.9799,KIPS BAY LIBRARY,1.0,5102
40.7389,-74.0029,JACKSON SQUARE,1.0,5090
40.7613,-73.9745,ST REGIS NY HOTEL,1.0,5048
40.7408,-74.0021,GOOGLE HEADQUARTERS,1.0,5031
40.9012,-73.9019,FIELDSTON RD OVER H HUDSON PKWY,2.0,5029
40.7265,-73.9842,CITYLIGHT CHURCH,1.0,5027
40.7608,-73.9965,RESCUE 1,1.0,5017
40.7065,-74.0092,MUSEUM OF AMERICAN FINANCIAL HISTORY,1.0,4993
40.7389,-73.9953,6 AVENUE ELEMENTARY SCHOOL,1.0,4968
40.6154,-74.0233,HAMILTON PARK NURSING & REHABILITATION CENTER,3.0,4947
40.6666,-73.9372,YESHIVA BEIS CHAYA MUSHKA,3.0,4930
40.7402,-74.004,ST BERNARDS RECTORY,1.0,4906
40.7161,-74.0148,ASPHALT GREEN GYM & POOL BATTERY PARK CITY,1.0,4860
40.7653,-73.9705,CARLTON HOUSE,1.0,4791
40.7547,-73.9911,MANHATTAN BROADWAY HOTEL,1.0,4748
40.7584,-73.9683,FDR POST OFFICE,1.0,4725
40.7394,-73.9873,GUATEMALA CONSULATE,1.0,4714
40.6321,-73.9484,BROOKLYN COLLEGE TANGER HILLEL HOUSE,3.0,4705
40.711,-74.0055,SPRUCE STREET SCHOOL,1.0,4651
40.7423,-73.9907,TOURO COLLEGE MAIN CAMPUS W 23 ST,1.0,4636
40.6763,-73.9744,MEMORIAL PRESBYTERIAN CHURCH,3.0,4612
40.7387,-73.9897,BALLET TECH NYC PUBLIC SCHOOL FOR DANCE,1.0,4612
40.7722,-73.9495,YORK AVE PRESCHOOL,1.0,4592
40.7252,-73.9919,BRC SHELTER BOWERY,1.0,4582
40.7047,-74.0094,QUEEN ELIZABETH II SEPTEMBER 11 GARDEN,1.0,4574
40.6859,-73.9611,BEDFORD STUYVESANT EARLY CHILDHOOD CENTER QUINCY ST,3.0,4549
40.7556,-73.9868,TIMES SQUARE TOWER,1.0,4547
40.7416,-73.9961,CHELSEA GREEN,1.0,4530
40.7545,-73.9763,HELMSLEY BUILDING,1.0,4529
40.7682,-73.9849,HUDSON HOTEL,1.0,4516
40.735,-74.0034,DARECH AMUNO CONGREGATION,1.0,4510
40.7122,-73.9571,HAVEMEYER ST MARKET,3.0,4504
40.7539,-73.995,MIDTOWN SOUTH PRECINCT 14 PRECINCT,1.0,4501
40.7163,-73.9499,FATHER GIORGIO TRIANGLE,3.0,4488
40.7243,-73.9496,ABC CHILD CENTER,3.0,4471
40.7313,-74.0053,CHERRY LANE THEATRE,1.0,4460
40.76,-73.9723,SAO TOME AND PRINCIPE MISSION TO UN,1.0,4448
40.7149,-74.0092,MYSTERIOUS BOOKSHOP,1.0,4443
40.7524,-73.9945,LOEWS THEATRE 34 ST,1.0,4419
40.7441,-73.9874,MUSEUM OF SEX,1.0,4412
40.749,-73.9925,GUYANA CONSULATE,1.0,4370
40.751,-74.0025,HIGH LINE W 28 ST ENTRANCE,1.0,4365
40.7746,-73.9556,HUNGARIAN BAPTIST CHURCH,1.0,4363
40.7267,-73.9987,UNIVERSITY PLAZA NURSERY SCHOOL,1.0,4361
40.7188,-74.0051,BARNETT NEWMAN TRIANGLE,1.0,4360
40.7448,-74.0069,HIGH LINE W 18 ST ENTRANCE,1.0,4359
40.7384,-74.0018,BUCKLE MY SHOE NURSERY SCHOOL W 13 ST,1.0,4320
40.7327,-73.9933,ALBERT APARTMENTS,1.0,4317
40.7151,-74.0156,REGAL CINEMA BATTERY PARK STADIUM 11,1.0,4303
40.7205,-73.9903,LAMBS CHURCH OF NAZARENE,1.0,4292
40.7352,-74.0017,MCCARTHY SQUARE,1.0,4278
40.7363,-73.9912,NEW YORK UNIVERSITY CARLYLE COURT,1.0,4268
40.7345,-74.0004,SQUAD 18,1.0,4250
40.7272,-73.9949,ZERO BOND STREET,1.0,4249
