,Statewide,Upstate,Downstate,NYC,Metric,Rides
223,387.2,383.6,390.5,373.2,7-Day Average Rides,21485.571428571428
224,387.2,383.6,390.5,373.2,7-Day Average Rides,21430.0
225,384.2,381.2,386.9,371.2,7-Day Average Rides,21458.285714285717
226,384.2,381.2,386.9,371.2,7-Day Average Rides,21505.0
227,384.2,381.2,386.9,371.2,7-Day Average Rides,21331.85714285714
228,384.2,381.2,386.9,371.2,7-Day Average Rides,22204.42857142857
229,384.2,381.2,386.9,371.2,7-Day Average Rides,22167.85714285714
230,384.2,381.2,386.9,371.2,7-Day Average Rides,22397.42857142857
231,384.2,381.2,386.9,371.2,7-Day Average Rides,22518.14285714286
232,384.0,381.1,386.6,371.9,7-Day Average Rides,22712.714285714286
233,384.0,381.1,386.6,371.9,7-Day Average Rides,22897.0
234,384.0,381.1,386.6,371.9,7-Day Average Rides,22968.571428571428
235,384.0,381.1,386.6,371.9,7-Day Average Rides,22107.42857142857
236,384.0,381.1,386.6,371.9,7-Day Average Rides,21015.571428571428
237,384.0,381.1,386.6,371.9,7-Day Average Rides,20206.0
238,384.0,381.1,386.6,371.9,7-Day Average Rides,19047.0
239,383.0,378.5,387.1,372.0,7-Day Average Rides,18496.14285714286
240,383.0,378.5,387.1,372.0,7-Day Average Rides,18315.0
241,383.0,378.5,387.1,372.0,7-Day Average Rides,18047.571428571428
242,383.0,378.5,387.1,372.0,7-Day Average Rides,17754.428571428572
243,383.0,378.5,387.1,372.0,7-Day Average Rides,18698.714285714286
244,383.0,378.5,387.1,372.0,7-Day Average Rides,19431.0
245,383.0,378.5,387.1,372.0,7-Day Average Rides,20474.0
246,384.0,378.6,388.8,372.6,7-Day Average Rides,21284.0
247,384.0,378.6,388.8,372.6,7-Day Average Rides,21368.42857142857
248,384.0,378.6,388.8,372.6,7-Day Average Rides,21860.0
249,384.0,378.6,388.8,372.6,7-Day Average Rides,21898.571428571428
250,384.0,378.6,388.8,372.6,7-Day Average Rides,21845.42857142857
251,384.0,378.6,388.8,372.6,7-Day Average Rides,21814.285714285717
252,384.0,378.6,388.8,372.6,7-Day Average Rides,22634.42857142857
253,384.0,378.9,388.7,373.8,7-Day Average Rides,22663.0
254,384.0,378.9,388.7,373.8,7-Day Average Rides,23075.14285714286
255,384.0,378.9,388.7,373.8,7-Day Average Rides,23285.571428571428
